Index,0,1,2,Ensemble_Decision
0,0,4,0,1
1,0,0,4,2
2,0,1,3,2
3,0,0,4,2
4,0,0,4,2
5,0,4,0,1
6,4,0,0,0
7,4,0,0,0
8,0,3,1,1
9,0,0,4,2
10,4,0,0,0
11,4,0,0,0
12,4,0,0,0
13,0,3,1,1
14,0,0,4,2
15,4,0,0,0
16,0,0,4,2
17,0,0,4,2
18,4,0,0,0
19,0,4,0,1
20,0,4,0,1
21,0,0,4,2
22,0,4,0,1
23,0,0,4,2
24,4,0,0,0
25,0,0,4,2
26,0,4,0,1
27,0,0,4,2
28,0,4,0,1
29,0,4,0,1
