Index,0,1,2,Ensemble_Decision
0,0,4,0,1
1,4,0,0,0
2,0,0,4,2
3,0,4,0,1
4,0,1,3,2
5,4,0,0,0
6,0,4,0,1
7,0,0,4,2
8,0,4,0,1
9,0,4,0,1
10,0,0,4,2
11,4,0,0,0
12,4,0,0,0
13,4,0,0,0
14,4,0,0,0
15,0,4,0,1
16,0,0,4,2
17,0,4,0,1
18,0,4,0,1
19,0,0,4,2
20,4,0,0,0
21,0,1,3,2
22,4,0,0,0
23,0,0,4,2
24,0,0,4,2
25,0,0,4,2
26,0,0,4,2
27,0,0,4,2
28,4,0,0,0
29,4,0,0,0
