Index,0,1,2,Ensemble_Decision
0,0,4,0,1
1,4,0,0,0
2,0,4,0,1
3,0,4,0,1
4,4,0,0,0
5,0,4,0,1
6,0,0,4,2
7,0,0,4,2
8,4,0,0,0
9,0,4,0,1
10,0,0,4,2
11,0,0,4,2
12,4,0,0,0
13,0,0,4,2
14,4,0,0,0
15,0,3,1,1
16,0,0,4,2
17,0,0,4,2
18,0,4,0,1
19,0,0,4,2
20,0,4,0,1
21,0,4,0,1
22,0,0,4,2
23,0,0,4,2
24,4,0,0,0
25,0,4,0,1
26,0,4,0,1
27,4,0,0,0
28,0,4,0,1
29,0,0,4,2
