Index,0,1,2,Ensemble_Decision
0,0,0,4,2
1,4,0,0,0
2,4,0,0,0
3,4,0,0,0
4,0,4,0,1
5,4,0,0,0
6,0,4,0,1
7,0,0,4,2
8,4,0,0,0
9,0,4,0,1
10,0,1,3,2
11,4,0,0,0
12,0,3,1,1
13,0,1,3,2
14,0,4,0,1
15,0,4,0,1
16,0,0,4,2
17,0,4,0,1
18,4,0,0,0
19,0,4,0,1
20,0,0,4,2
21,4,0,0,0
22,4,0,0,0
23,0,4,0,1
24,0,0,4,2
25,4,0,0,0
26,0,0,4,2
27,4,0,0,0
28,4,0,0,0
29,0,4,0,1
