Index,0,1,2,Ensemble_Decision
0,4,0,0,0
1,4,0,0,0
2,0,4,0,1
3,4,0,0,0
4,4,0,0,0
5,0,0,4,2
6,0,4,0,1
7,4,0,0,0
8,4,0,0,0
9,4,0,0,0
10,0,0,4,2
11,0,4,0,1
12,0,4,0,1
13,4,0,0,0
14,4,0,0,0
15,0,4,0,1
16,0,4,0,1
17,0,0,4,2
18,0,4,0,1
19,0,0,4,2
20,0,4,0,1
21,0,0,4,2
22,0,4,0,1
23,4,0,0,0
24,0,0,4,2
25,0,4,0,1
26,4,0,0,0
27,4,0,0,0
28,4,0,0,0
29,0,4,0,1
