Set,Accuracy,Sensitivity,Specificity,Precision,F1_Score,FNR,FPR,AUC
random_forest_norm,0.960 +- 0.028,0.959 +- 0.027,0.980 +- 0.014,0.963 +- 0.027,0.961 +- 0.027,0.041 +- 0.027,0.020 +- 0.014,0.993 +- 0.010
random_forest_norm_PCA80,0.920 +- 0.056,0.919 +- 0.050,0.959 +- 0.030,0.924 +- 0.054,0.921 +- 0.052,0.081 +- 0.050,0.041 +- 0.030,0.978 +- 0.020
random_forest_norm_PCA95,0.940 +- 0.028,0.938 +- 0.023,0.969 +- 0.015,0.944 +- 0.027,0.941 +- 0.025,0.062 +- 0.023,0.031 +- 0.015,0.993 +- 0.007
random_forest_original,0.960 +- 0.028,0.959 +- 0.027,0.980 +- 0.014,0.963 +- 0.027,0.961 +- 0.027,0.041 +- 0.027,0.020 +- 0.014,0.995 +- 0.005
random_forest_original_PCA80,0.907 +- 0.028,0.902 +- 0.031,0.952 +- 0.017,0.914 +- 0.019,0.908 +- 0.023,0.098 +- 0.031,0.048 +- 0.017,0.977 +- 0.020
random_forest_original_PCA95,0.960 +- 0.037,0.961 +- 0.037,0.979 +- 0.019,0.965 +- 0.033,0.963 +- 0.035,0.039 +- 0.037,0.021 +- 0.019,0.990 +- 0.012
random_forest_stand,0.960 +- 0.028,0.959 +- 0.027,0.980 +- 0.014,0.963 +- 0.027,0.961 +- 0.027,0.041 +- 0.027,0.020 +- 0.014,0.996 +- 0.005
random_forest_stand_PCA80,0.900 +- 0.024,0.894 +- 0.017,0.948 +- 0.014,0.908 +- 0.023,0.901 +- 0.018,0.106 +- 0.017,0.052 +- 0.014,0.976 +- 0.020
random_forest_stand_PCA95,0.900 +- 0.024,0.894 +- 0.017,0.948 +- 0.014,0.908 +- 0.023,0.901 +- 0.018,0.106 +- 0.017,0.052 +- 0.014,0.976 +- 0.020
