Set,Accuracy,Sensitivity,Specificity,Precision,F1_Score,FNR,FPR,AUC
naive_bayes_norm,0.960 +- 0.028,0.960 +- 0.027,0.980 +- 0.014,0.963 +- 0.026,0.961 +- 0.026,0.040 +- 0.027,0.020 +- 0.014,0.995 +- 0.006
naive_bayes_norm_PCA80,0.960 +- 0.028,0.958 +- 0.029,0.980 +- 0.014,0.961 +- 0.029,0.960 +- 0.029,0.042 +- 0.029,0.020 +- 0.014,0.991 +- 0.010
naive_bayes_norm_PCA95,0.913 +- 0.038,0.910 +- 0.044,0.956 +- 0.019,0.915 +- 0.039,0.912 +- 0.041,0.090 +- 0.044,0.044 +- 0.019,0.987 +- 0.010
naive_bayes_original,0.960 +- 0.028,0.960 +- 0.027,0.980 +- 0.014,0.963 +- 0.026,0.961 +- 0.026,0.040 +- 0.027,0.020 +- 0.014,0.995 +- 0.006
naive_bayes_original_PCA80,0.940 +- 0.043,0.942 +- 0.039,0.969 +- 0.023,0.945 +- 0.039,0.943 +- 0.039,0.058 +- 0.039,0.031 +- 0.023,0.990 +- 0.009
naive_bayes_original_PCA95,0.893 +- 0.043,0.890 +- 0.053,0.946 +- 0.022,0.896 +- 0.040,0.893 +- 0.046,0.110 +- 0.053,0.054 +- 0.022,0.981 +- 0.012
naive_bayes_stand,0.960 +- 0.028,0.960 +- 0.027,0.980 +- 0.014,0.963 +- 0.026,0.961 +- 0.026,0.040 +- 0.027,0.020 +- 0.014,0.995 +- 0.006
naive_bayes_stand_PCA80,0.893 +- 0.043,0.888 +- 0.052,0.946 +- 0.021,0.894 +- 0.051,0.891 +- 0.052,0.112 +- 0.052,0.054 +- 0.021,0.981 +- 0.014
naive_bayes_stand_PCA95,0.893 +- 0.043,0.888 +- 0.052,0.946 +- 0.021,0.894 +- 0.051,0.891 +- 0.052,0.112 +- 0.052,0.054 +- 0.021,0.981 +- 0.014
