Set,Accuracy,Sensitivity,Specificity,Precision,F1_Score,FNR,FPR,AUC
norm,0.967 $\pm$ 0.024,0.967 $\pm$ 0.021,0.983 $\pm$ 0.012,0.970 $\pm$ 0.020,0.968 $\pm$ 0.020,0.033 $\pm$ 0.021,0.017 $\pm$ 0.012,0.998 $\pm$ 0.003
norm_PCA80,0.960 $\pm$ 0.028,0.958 $\pm$ 0.029,0.980 $\pm$ 0.014,0.961 $\pm$ 0.029,0.960 $\pm$ 0.029,0.042 $\pm$ 0.029,0.020 $\pm$ 0.014,0.991 $\pm$ 0.010
norm_PCA95,0.973 $\pm$ 0.028,0.970 $\pm$ 0.032,0.987 $\pm$ 0.013,0.973 $\pm$ 0.031,0.972 $\pm$ 0.031,0.030 $\pm$ 0.032,0.013 $\pm$ 0.013,0.995 $\pm$ 0.007
original,0.973 $\pm$ 0.028,0.974 $\pm$ 0.028,0.986 $\pm$ 0.015,0.978 $\pm$ 0.022,0.976 $\pm$ 0.024,0.026 $\pm$ 0.028,0.014 $\pm$ 0.015,0.999 $\pm$ 0.001
original_PCA80,0.920 $\pm$ 0.051,0.920 $\pm$ 0.051,0.958 $\pm$ 0.027,0.925 $\pm$ 0.046,0.923 $\pm$ 0.048,0.080 $\pm$ 0.051,0.042 $\pm$ 0.027,0.989 $\pm$ 0.009
original_PCA95,0.960 $\pm$ 0.028,0.960 $\pm$ 0.031,0.980 $\pm$ 0.015,0.963 $\pm$ 0.027,0.962 $\pm$ 0.029,0.040 $\pm$ 0.031,0.020 $\pm$ 0.015,0.997 $\pm$ 0.003
stand,0.973 $\pm$ 0.015,0.970 $\pm$ 0.018,0.986 $\pm$ 0.008,0.976 $\pm$ 0.014,0.973 $\pm$ 0.016,0.030 $\pm$ 0.018,0.014 $\pm$ 0.008,1.000 $\pm$ 0.000
stand_PCA80,0.913 $\pm$ 0.061,0.915 $\pm$ 0.053,0.954 $\pm$ 0.033,0.923 $\pm$ 0.052,0.919 $\pm$ 0.052,0.085 $\pm$ 0.053,0.046 $\pm$ 0.033,0.987 $\pm$ 0.012
stand_PCA95,0.913 $\pm$ 0.061,0.915 $\pm$ 0.053,0.954 $\pm$ 0.033,0.923 $\pm$ 0.052,0.919 $\pm$ 0.052,0.085 $\pm$ 0.053,0.046 $\pm$ 0.033,0.987 $\pm$ 0.012
