Set,Accuracy,Sensitivity,Specificity,Precision,F1_Score,FNR,FPR,AUC
knn_norm,0.953 +- 0.038,0.954 +- 0.034,0.976 +- 0.021,0.959 +- 0.032,0.956 +- 0.033,0.046 +- 0.034,0.024 +- 0.021,0.997 +- 0.005
knn_norm_PCA80,0.953 +- 0.018,0.951 +- 0.018,0.976 +- 0.009,0.956 +- 0.021,0.953 +- 0.019,0.049 +- 0.018,0.024 +- 0.009,0.988 +- 0.021
knn_norm_PCA95,0.953 +- 0.038,0.953 +- 0.040,0.975 +- 0.021,0.963 +- 0.025,0.958 +- 0.032,0.047 +- 0.040,0.025 +- 0.021,0.985 +- 0.027
knn_original,0.973 +- 0.028,0.974 +- 0.028,0.986 +- 0.015,0.978 +- 0.022,0.976 +- 0.024,0.026 +- 0.028,0.014 +- 0.015,0.990 +- 0.014
knn_original_PCA80,0.933 +- 0.047,0.933 +- 0.049,0.966 +- 0.025,0.940 +- 0.042,0.936 +- 0.045,0.067 +- 0.049,0.034 +- 0.025,0.977 +- 0.020
knn_original_PCA95,0.973 +- 0.028,0.973 +- 0.028,0.986 +- 0.015,0.979 +- 0.021,0.976 +- 0.025,0.027 +- 0.028,0.014 +- 0.015,0.983 +- 0.024
knn_stand,0.960 +- 0.037,0.959 +- 0.035,0.979 +- 0.020,0.963 +- 0.032,0.961 +- 0.033,0.041 +- 0.035,0.021 +- 0.020,0.996 +- 0.005
knn_stand_PCA80,0.913 +- 0.038,0.914 +- 0.038,0.956 +- 0.022,0.917 +- 0.030,0.915 +- 0.034,0.086 +- 0.038,0.044 +- 0.022,0.970 +- 0.030
knn_stand_PCA95,0.913 +- 0.038,0.914 +- 0.038,0.956 +- 0.022,0.917 +- 0.030,0.915 +- 0.034,0.086 +- 0.038,0.044 +- 0.022,0.970 +- 0.030
