Fold/Mean,Accuracy,Sensitivity,Specificity,Precision,F1_Score,FNR,FPR,AUC
Fold_1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
Fold_2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
Fold_3,0.9333333333333333,0.9249999999999999,0.9681818181818181,0.9249999999999999,0.9249999999999999,0.075,0.03181818181818182,0.996439393939394
Fold_4,0.9333333333333333,0.9333333333333332,0.962962962962963,0.9523809523809524,0.9427609427609427,0.06666666666666667,0.037037037037037035,0.9723456790123457
Fold_5,0.9333333333333333,0.9444444444444445,0.9649122807017544,0.9487179487179488,0.9465763732129421,0.05555555555555555,0.03508771929824561,0.9835120207927225
Mean,0.9600000000000002,0.9605555555555554,0.9792114123693072,0.9652197802197803,0.9628674631947769,0.03944444444444444,0.020788587630692894,0.9904594187488925
