fold,Accuracy,Sensitivity,Specificity,Precision,F1_Score,FNR,FPR,AUC
0,0.9,0.8956228956228957,0.9490392648287385,0.9027777777777778,0.8991861039602673,0.10437710437710439,0.050960735171261484,0.9865657409517059
1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
2,0.9333333333333333,0.9249999999999999,0.9681818181818181,0.9249999999999999,0.9249999999999999,0.075,0.03181818181818182,0.9893181818181818
3,0.9,0.9,0.9444444444444444,0.9333333333333332,0.9163636363636364,0.09999999999999999,0.05555555555555555,0.9935802469135803
4,0.8333333333333334,0.8560606060606061,0.9103313840155945,0.8560606060606061,0.8560606060606061,0.14393939393939395,0.08966861598440545,0.9669723551302498
