Fold/Mean,Accuracy,Sensitivity,Specificity,Precision,F1_Score,FNR,FPR,AUC
Fold_1,0.9666666666666667,0.9629629629629629,0.9824561403508771,0.9722222222222222,0.9675704412546517,0.037037037037037035,0.017543859649122806,0.9966414352379265
Fold_2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
Fold_3,0.9333333333333333,0.9249999999999999,0.9681818181818181,0.9249999999999999,0.9249999999999999,0.075,0.03181818181818182,0.9857575757575757
Fold_4,0.9,0.9055555555555556,0.9462962962962963,0.9116809116809117,0.9086079102540653,0.09444444444444444,0.0537037037037037,0.9871604938271604
Fold_5,0.9,0.9141414141414143,0.9463937621832359,0.9141414141414143,0.9141414141414143,0.08585858585858586,0.05360623781676413,0.9780332565420284
Mean,0.9400000000000001,0.9415319865319864,0.9686656034024456,0.9446089096089096,0.9430639531300262,0.05846801346801347,0.03133439659755449,0.9895185522729382
