Fold/Mean,Accuracy,Sensitivity,Specificity,Precision,F1_Score,FNR,FPR,AUC
Fold_1,0.9666666666666667,0.9629629629629629,0.9824561403508771,0.9722222222222222,0.9675704412546517,0.037037037037037035,0.017543859649122806,1.0
Fold_2,0.9666666666666667,0.9523809523809524,0.9833333333333333,0.9696969696969697,0.960960960960961,0.047619047619047616,0.016666666666666666,0.9925258799171842
Fold_3,0.9,0.8916666666666666,0.953030303030303,0.8888888888888888,0.890275611024441,0.10833333333333334,0.046969696969696974,0.9650757575757577
Fold_4,0.8333333333333334,0.8444444444444444,0.9111111111111111,0.849002849002849,0.8467175115896516,0.15555555555555556,0.08888888888888889,0.9791358024691359
Fold_5,0.9333333333333333,0.9419191919191919,0.9639376218323586,0.9419191919191919,0.9419191919191919,0.05808080808080809,0.036062378167641324,0.9513593537716344
Mean,0.9200000000000002,0.9186748436748436,0.9587737019315966,0.9243460243460243,0.9214887433497795,0.08132515632515633,0.041226298068403326,0.9776193587467426
