fold,Accuracy,Sensitivity,Specificity,Precision,F1_Score,FNR,FPR,AUC
<<<<<<< HEAD
0,0.4955,0.3333333333333333,0.6666666666666667,,,0.6666666666666666,0.3333333333333333,0.5154924389584354
1,0.499,0.3333333333333333,0.6666666666666667,,,0.6666666666666666,0.3333333333333333,0.5094462482191282
2,0.4965,0.3333333333333333,0.6666666666666667,,,0.6666666666666666,0.3333333333333333,0.5230420293762625
3,0.506,0.3333333333333333,0.6666666666666667,,,0.6666666666666666,0.3333333333333333,0.5186851850649804
4,0.5055,0.3333333333333333,0.6666666666666667,,,0.6666666666666666,0.3333333333333333,0.5191788794646506
=======
0,0.4955,0.3333333333333333,0.6666666666666667,0.16516666666666666,0.22088487685278058,0.6666666666666666,0.3333333333333333,0.5154924389584354
1,0.499,0.3333333333333333,0.6666666666666667,0.16633333333333333,0.22192572826328663,0.6666666666666666,0.3333333333333333,0.5094462482191282
2,0.4965,0.3333333333333333,0.6666666666666667,0.1655,0.22118275977280322,0.6666666666666666,0.3333333333333333,0.5230420293762625
3,0.506,0.3333333333333333,0.6666666666666667,0.16866666666666666,0.22399291722000883,0.6666666666666666,0.3333333333333333,0.5186851850649804
4,0.5055,0.3333333333333333,0.6666666666666667,0.16849999999999998,0.22384589837263363,0.6666666666666666,0.3333333333333333,0.5191788794646506
>>>>>>> e8d8ab2d6d212961f97856532e1c35f93705fb20
