fold,Accuracy,Sensitivity,Specificity,Precision,F1_Score,FNR,FPR,AUC
0,0.4955,0.3333333333333333,0.6666666666666667,,,0.6666666666666666,0.3333333333333333,0.5154924389584354
1,0.499,0.3333333333333333,0.6666666666666667,,,0.6666666666666666,0.3333333333333333,0.5094462482191282
2,0.4965,0.3333333333333333,0.6666666666666667,,,0.6666666666666666,0.3333333333333333,0.5230420293762625
3,0.506,0.3333333333333333,0.6666666666666667,,,0.6666666666666666,0.3333333333333333,0.5186851850649804
4,0.5055,0.3333333333333333,0.6666666666666667,,,0.6666666666666666,0.3333333333333333,0.5191788794646506
