fold,Accuracy,Sensitivity,Specificity,Precision,F1_Score,FNR,FPR,AUC
<<<<<<< HEAD
0,0.4955,0.33371732345592586,0.6670549687037659,,,0.666282676544074,0.3329450312962341,0.5150475242592877
1,0.499,0.3333333333333333,0.6666666666666667,,,0.6666666666666666,0.3333333333333333,0.5193359184014638
2,0.4965,0.3333333333333333,0.6666666666666667,,,0.6666666666666666,0.3333333333333333,0.534625138009648
3,0.506,0.3333333333333333,0.6666666666666667,,,0.6666666666666666,0.3333333333333333,0.5222380480571353
4,0.502,0.3322150725679091,0.6656620616840494,,,0.667784927432091,0.3343379383159506,0.5108430742552558
=======
0,0.4955,0.33371732345592586,0.6670549687037659,0.3148235623436379,0.32399522955796756,0.666282676544074,0.3329450312962341,0.5150475242592877
1,0.499,0.3333333333333333,0.6666666666666667,0.16633333333333333,0.22192572826328663,0.6666666666666666,0.3333333333333333,0.5193359184014638
2,0.4965,0.3333333333333333,0.6666666666666667,0.1655,0.22118275977280322,0.6666666666666666,0.3333333333333333,0.534625138009648
3,0.506,0.3333333333333333,0.6666666666666667,0.16866666666666666,0.22399291722000883,0.6666666666666666,0.3333333333333333,0.5222380480571353
4,0.502,0.3322150725679091,0.6656620616840494,0.31177502926789624,0.32167067064488647,0.667784927432091,0.3343379383159506,0.5108430742552558
>>>>>>> e8d8ab2d6d212961f97856532e1c35f93705fb20
