fold,Accuracy,Sensitivity,Specificity,Precision,F1_Score,FNR,FPR,AUC
0,0.4875,0.34127306756047754,0.6741410511992054,0.32487071652340477,0.33286995581888285,0.6587269324395225,0.3258589488007945,0.5114272560189703
<<<<<<< HEAD
1,0.4645,0.3227315078457711,0.6568230267973638,,,0.677268492154229,0.3431769732026361,0.4826554382716648
2,0.4875,0.3390374059860464,0.6721622114815002,0.32542087542087544,0.3320896211054512,0.6609625940139535,0.3278377885184997,0.5000906744369117
3,0.495,0.3428020381922949,0.6755298479019004,,,0.6571979618077052,0.3244701520980996,0.5202235830268424
4,0.4835,0.3341871795371267,0.6676113739780929,,,0.6658128204628734,0.33238862602190705,0.5000755553089485
=======
1,0.4645,0.3227315078457711,0.6568230267973638,0.30979581862738725,0.316131390646486,0.677268492154229,0.3431769732026361,0.4826554382716648
2,0.4875,0.3390374059860464,0.6721622114815002,0.32542087542087544,0.3320896211054512,0.6609625940139535,0.3278377885184997,0.5000906744369117
3,0.495,0.3428020381922949,0.6755298479019004,0.32996531986127947,0.3362612137083251,0.6571979618077052,0.3244701520980996,0.5202235830268424
4,0.4835,0.3341871795371267,0.6676113739780929,0.32167604116702436,0.3278122801484793,0.6658128204628734,0.33238862602190705,0.5000755553089485
>>>>>>> e8d8ab2d6d212961f97856532e1c35f93705fb20
