Set,Accuracy,Sensitivity,Specificity,Precision,F1_Score,FNR,FPR,AUC
normalized,0.505 $\pm$ 0.006,0.364 $\pm$ 0.009,0.682 $\pm$ 0.003,0.444 $\pm$ 0.067,0.369 $\pm$ 0.016,0.636 $\pm$ 0.009,0.318 $\pm$ 0.003,0.500 $\pm$ 0.000
normalized_pca_80,0.483 $\pm$ 0.009,0.336 $\pm$ 0.007,0.667 $\pm$ 0.007,0.520 $\pm$ 0.180,0.329 $\pm$ 0.006,0.664 $\pm$ 0.007,0.333 $\pm$ 0.007,0.500 $\pm$ 0.000
normalized_pca_95,0.488 $\pm$ 0.011,0.363 $\pm$ 0.015,0.671 $\pm$ 0.007,0.435 $\pm$ 0.046,0.372 $\pm$ 0.022,0.637 $\pm$ 0.015,0.329 $\pm$ 0.007,0.500 $\pm$ 0.000
original,0.505 $\pm$ 0.004,0.356 $\pm$ 0.012,0.681 $\pm$ 0.004,0.441 $\pm$ 0.107,0.355 $\pm$ 0.019,0.644 $\pm$ 0.012,0.319 $\pm$ 0.004,0.500 $\pm$ 0.000
original_pca_80,0.477 $\pm$ 0.011,0.330 $\pm$ 0.008,0.664 $\pm$ 0.008,0.317 $\pm$ 0.007,0.323 $\pm$ 0.007,0.670 $\pm$ 0.008,0.336 $\pm$ 0.008,0.500 $\pm$ 0.000
original_pca_95,0.477 $\pm$ 0.011,0.330 $\pm$ 0.008,0.664 $\pm$ 0.008,0.317 $\pm$ 0.007,0.323 $\pm$ 0.007,0.670 $\pm$ 0.008,0.336 $\pm$ 0.008,0.500 $\pm$ 0.000
standarized,0.510 $\pm$ 0.012,0.371 $\pm$ 0.010,0.686 $\pm$ 0.008,0.448 $\pm$ 0.068,0.377 $\pm$ 0.017,0.629 $\pm$ 0.010,0.314 $\pm$ 0.008,0.500 $\pm$ 0.000
standarized_pca_80,0.509 $\pm$ 0.007,0.354 $\pm$ 0.008,0.683 $\pm$ 0.005,0.460 $\pm$ 0.141,0.348 $\pm$ 0.009,0.646 $\pm$ 0.008,0.317 $\pm$ 0.005,0.500 $\pm$ 0.000
standarized_pca_95,0.512 $\pm$ 0.008,0.382 $\pm$ 0.015,0.687 $\pm$ 0.006,0.482 $\pm$ 0.070,0.395 $\pm$ 0.021,0.618 $\pm$ 0.015,0.313 $\pm$ 0.006,0.500 $\pm$ 0.000
