Set,Accuracy,Sensitivity,Specificity,Precision,F1_Score,FNR,FPR,AUC
normalized,0.507 $\pm$ 0.009,0.362 $\pm$ 0.008,0.682 $\pm$ 0.005,0.447 $\pm$ 0.053,0.362 $\pm$ 0.013,0.638 $\pm$ 0.008,0.318 $\pm$ 0.005,0.500 $\pm$ 0.000
normalized_pca_80,0.487 $\pm$ 0.011,0.334 $\pm$ 0.008,0.666 $\pm$ 0.007,0.452 $\pm$ 0.184,0.318 $\pm$ 0.011,0.666 $\pm$ 0.008,0.334 $\pm$ 0.007,0.500 $\pm$ 0.000
normalized_pca_95,0.494 $\pm$ 0.007,0.357 $\pm$ 0.005,0.672 $\pm$ 0.003,0.447 $\pm$ 0.034,0.355 $\pm$ 0.009,0.643 $\pm$ 0.005,0.328 $\pm$ 0.003,0.500 $\pm$ 0.000
original,0.514 $\pm$ 0.011,0.356 $\pm$ 0.010,0.685 $\pm$ 0.007,0.440 $\pm$ 0.150,0.347 $\pm$ 0.013,0.644 $\pm$ 0.010,0.315 $\pm$ 0.007,0.500 $\pm$ 0.000
original_pca_80,0.490 $\pm$ 0.010,0.336 $\pm$ 0.007,0.669 $\pm$ 0.007,0.323 $\pm$ 0.007,0.322 $\pm$ 0.006,0.664 $\pm$ 0.007,0.331 $\pm$ 0.007,0.500 $\pm$ 0.000
original_pca_95,0.490 $\pm$ 0.010,0.336 $\pm$ 0.007,0.669 $\pm$ 0.007,0.323 $\pm$ 0.007,0.322 $\pm$ 0.006,0.664 $\pm$ 0.007,0.331 $\pm$ 0.007,0.500 $\pm$ 0.000
standarized,0.512 $\pm$ 0.014,0.366 $\pm$ 0.010,0.685 $\pm$ 0.008,0.459 $\pm$ 0.073,0.367 $\pm$ 0.013,0.634 $\pm$ 0.010,0.315 $\pm$ 0.008,0.500 $\pm$ 0.000
standarized_pca_80,0.520 $\pm$ 0.008,0.360 $\pm$ 0.006,0.689 $\pm$ 0.005,0.472 $\pm$ 0.147,0.352 $\pm$ 0.007,0.640 $\pm$ 0.006,0.311 $\pm$ 0.005,0.500 $\pm$ 0.000
standarized_pca_95,0.515 $\pm$ 0.015,0.375 $\pm$ 0.015,0.687 $\pm$ 0.010,0.468 $\pm$ 0.071,0.382 $\pm$ 0.020,0.625 $\pm$ 0.015,0.313 $\pm$ 0.010,0.500 $\pm$ 0.000
