Set,Accuracy,Sensitivity,Specificity,Precision,F1_Score,FNR,FPR,AUC
normalized,0.487 $\pm$ 0.005,0.351 $\pm$ 0.002,0.672 $\pm$ 0.003,0.463 $\pm$ 0.025,0.399 $\pm$ 0.009,0.649 $\pm$ 0.002,0.328 $\pm$ 0.003,0.564 $\pm$ 0.014
normalized_pca_80,0.486 $\pm$ 0.008,0.337 $\pm$ 0.006,0.670 $\pm$ 0.006,0.324 $\pm$ 0.005,0.330 $\pm$ 0.006,0.663 $\pm$ 0.006,0.330 $\pm$ 0.006,0.515 $\pm$ 0.006
normalized_pca_95,0.483 $\pm$ 0.004,0.351 $\pm$ 0.003,0.670 $\pm$ 0.002,0.462 $\pm$ 0.017,0.399 $\pm$ 0.007,0.649 $\pm$ 0.003,0.330 $\pm$ 0.002,0.561 $\pm$ 0.010
original,0.497 $\pm$ 0.008,0.345 $\pm$ 0.006,0.677 $\pm$ 0.005,0.330 $\pm$ 0.005,0.337 $\pm$ 0.005,0.655 $\pm$ 0.006,0.323 $\pm$ 0.005,0.530 $\pm$ 0.012
original_pca_80,0.483 $\pm$ 0.011,0.335 $\pm$ 0.008,0.669 $\pm$ 0.007,0.323 $\pm$ 0.007,0.330 $\pm$ 0.007,0.665 $\pm$ 0.008,0.331 $\pm$ 0.007,0.502 $\pm$ 0.014
original_pca_95,0.483 $\pm$ 0.011,0.335 $\pm$ 0.008,0.669 $\pm$ 0.007,0.323 $\pm$ 0.007,0.330 $\pm$ 0.007,0.665 $\pm$ 0.008,0.331 $\pm$ 0.007,0.502 $\pm$ 0.014
standarized,0.492 $\pm$ 0.007,0.354 $\pm$ 0.008,0.675 $\pm$ 0.005,0.433 $\pm$ 0.086,0.387 $\pm$ 0.037,0.646 $\pm$ 0.008,0.325 $\pm$ 0.005,0.573 $\pm$ 0.008
standarized_pca_80,0.496 $\pm$ 0.007,0.352 $\pm$ 0.010,0.678 $\pm$ 0.005,0.445 $\pm$ 0.126,0.389 $\pm$ 0.049,0.648 $\pm$ 0.010,0.322 $\pm$ 0.005,0.556 $\pm$ 0.007
standarized_pca_95,0.492 $\pm$ 0.007,0.354 $\pm$ 0.008,0.675 $\pm$ 0.005,0.433 $\pm$ 0.086,0.387 $\pm$ 0.037,0.646 $\pm$ 0.008,0.325 $\pm$ 0.005,0.573 $\pm$ 0.008
