Set,Accuracy,Sensitivity,Specificity,Precision,F1_Score,FNR,FPR,AUC
normalized,0.503 $\pm$ 0.013,0.362 $\pm$ 0.008,0.682 $\pm$ 0.007,0.494 $\pm$ 0.053,0.367 $\pm$ 0.011,0.638 $\pm$ 0.008,0.318 $\pm$ 0.007,0.558 $\pm$ 0.010
normalized_pca_80,0.486 $\pm$ 0.011,0.333 $\pm$ 0.008,0.666 $\pm$ 0.007,0.319 $\pm$ 0.008,0.318 $\pm$ 0.009,0.667 $\pm$ 0.008,0.334 $\pm$ 0.007,0.504 $\pm$ 0.007
normalized_pca_95,0.489 $\pm$ 0.005,0.352 $\pm$ 0.011,0.670 $\pm$ 0.004,0.444 $\pm$ 0.052,0.354 $\pm$ 0.018,0.648 $\pm$ 0.011,0.330 $\pm$ 0.004,0.547 $\pm$ 0.010
original,0.511 $\pm$ 0.013,0.360 $\pm$ 0.008,0.687 $\pm$ 0.008,0.443 $\pm$ 0.097,0.359 $\pm$ 0.010,0.640 $\pm$ 0.008,0.313 $\pm$ 0.008,0.559 $\pm$ 0.011
original_pca_80,0.489 $\pm$ 0.011,0.335 $\pm$ 0.008,0.668 $\pm$ 0.008,0.321 $\pm$ 0.008,0.319 $\pm$ 0.007,0.665 $\pm$ 0.008,0.332 $\pm$ 0.008,0.495 $\pm$ 0.013
original_pca_95,0.489 $\pm$ 0.011,0.335 $\pm$ 0.008,0.668 $\pm$ 0.008,0.321 $\pm$ 0.008,0.319 $\pm$ 0.007,0.665 $\pm$ 0.008,0.332 $\pm$ 0.008,0.495 $\pm$ 0.013
standarized,0.510 $\pm$ 0.014,0.366 $\pm$ 0.013,0.687 $\pm$ 0.009,0.455 $\pm$ 0.073,0.369 $\pm$ 0.017,0.634 $\pm$ 0.013,0.313 $\pm$ 0.009,0.562 $\pm$ 0.012
standarized_pca_80,0.517 $\pm$ 0.014,0.360 $\pm$ 0.010,0.690 $\pm$ 0.009,0.499 $\pm$ 0.172,0.355 $\pm$ 0.010,0.640 $\pm$ 0.010,0.310 $\pm$ 0.009,0.540 $\pm$ 0.012
standarized_pca_95,0.519 $\pm$ 0.020,0.375 $\pm$ 0.014,0.692 $\pm$ 0.013,0.472 $\pm$ 0.048,0.381 $\pm$ 0.014,0.625 $\pm$ 0.014,0.308 $\pm$ 0.013,0.568 $\pm$ 0.017
