Set,Accuracy,Sensitivity,Specificity,Precision,F1_Score,FNR,FPR,AUC
normalized,0.510 $\pm$ 0.007,0.347 $\pm$ 0.005,0.679 $\pm$ 0.005,0.338 $\pm$ 0.008,0.342 $\pm$ 0.007,0.653 $\pm$ 0.005,0.321 $\pm$ 0.005,0.607 $\pm$ 0.008
normalized_pca_80,0.496 $\pm$ 0.007,0.333 $\pm$ 0.004,0.667 $\pm$ 0.003,0.319 $\pm$ 0.012,0.326 $\pm$ 0.008,0.667 $\pm$ 0.004,0.333 $\pm$ 0.003,0.489 $\pm$ 0.008
normalized_pca_95,0.496 $\pm$ 0.007,0.336 $\pm$ 0.005,0.669 $\pm$ 0.005,0.325 $\pm$ 0.008,0.330 $\pm$ 0.007,0.664 $\pm$ 0.005,0.331 $\pm$ 0.005,0.589 $\pm$ 0.006
original,0.512 $\pm$ 0.005,0.342 $\pm$ 0.002,0.675 $\pm$ 0.001,0.410 $\pm$ 0.012,0.373 $\pm$ 0.005,0.658 $\pm$ 0.002,0.325 $\pm$ 0.001,0.561 $\pm$ 0.024
original_pca_80,0.500 $\pm$ 0.004,0.333 $\pm$ 0.001,0.667 $\pm$ 0.000,0.200 $\pm$ 0.074,0.245 $\pm$ 0.049,0.667 $\pm$ 0.001,0.333 $\pm$ 0.000,0.495 $\pm$ 0.013
original_pca_95,0.500 $\pm$ 0.004,0.333 $\pm$ 0.001,0.667 $\pm$ 0.000,0.200 $\pm$ 0.074,0.245 $\pm$ 0.049,0.667 $\pm$ 0.001,0.333 $\pm$ 0.000,0.494 $\pm$ 0.012
standarized,0.519 $\pm$ 0.010,0.353 $\pm$ 0.007,0.685 $\pm$ 0.006,0.345 $\pm$ 0.011,0.349 $\pm$ 0.008,0.647 $\pm$ 0.007,0.315 $\pm$ 0.006,0.600 $\pm$ 0.013
standarized_pca_80,0.523 $\pm$ 0.016,0.355 $\pm$ 0.010,0.687 $\pm$ 0.009,0.350 $\pm$ 0.017,0.353 $\pm$ 0.013,0.645 $\pm$ 0.010,0.313 $\pm$ 0.009,0.574 $\pm$ 0.006
standarized_pca_95,0.519 $\pm$ 0.010,0.353 $\pm$ 0.007,0.685 $\pm$ 0.006,0.345 $\pm$ 0.011,0.349 $\pm$ 0.009,0.647 $\pm$ 0.007,0.315 $\pm$ 0.006,0.601 $\pm$ 0.012
