Set,Accuracy,Sensitivity,Specificity,Precision,F1_Score,FNR,FPR,AUC
normalized,0.503 $\pm$ 0.010,0.365 $\pm$ 0.010,0.683 $\pm$ 0.006,0.418 $\pm$ 0.047,0.389 $\pm$ 0.025,0.635 $\pm$ 0.010,0.317 $\pm$ 0.006,0.624 $\pm$ 0.013
normalized_pca_80,0.473 $\pm$ 0.012,0.336 $\pm$ 0.006,0.664 $\pm$ 0.007,0.361 $\pm$ 0.012,0.348 $\pm$ 0.007,0.664 $\pm$ 0.006,0.336 $\pm$ 0.007,0.517 $\pm$ 0.008
normalized_pca_95,0.487 $\pm$ 0.011,0.365 $\pm$ 0.010,0.673 $\pm$ 0.006,0.421 $\pm$ 0.020,0.391 $\pm$ 0.011,0.635 $\pm$ 0.010,0.327 $\pm$ 0.006,0.618 $\pm$ 0.011
original,0.503 $\pm$ 0.011,0.365 $\pm$ 0.011,0.682 $\pm$ 0.007,0.417 $\pm$ 0.048,0.389 $\pm$ 0.026,0.635 $\pm$ 0.011,0.318 $\pm$ 0.007,0.624 $\pm$ 0.013
original_pca_80,0.454 $\pm$ 0.015,0.323 $\pm$ 0.014,0.661 $\pm$ 0.011,0.322 $\pm$ 0.013,0.322 $\pm$ 0.013,0.677 $\pm$ 0.014,0.339 $\pm$ 0.011,0.497 $\pm$ 0.015
original_pca_95,0.454 $\pm$ 0.015,0.323 $\pm$ 0.014,0.661 $\pm$ 0.011,0.322 $\pm$ 0.013,0.322 $\pm$ 0.013,0.677 $\pm$ 0.014,0.339 $\pm$ 0.011,0.497 $\pm$ 0.015
standarized,0.504 $\pm$ 0.011,0.366 $\pm$ 0.009,0.683 $\pm$ 0.007,0.421 $\pm$ 0.039,0.391 $\pm$ 0.020,0.634 $\pm$ 0.009,0.317 $\pm$ 0.007,0.624 $\pm$ 0.013
standarized_pca_80,0.506 $\pm$ 0.007,0.356 $\pm$ 0.010,0.683 $\pm$ 0.005,0.423 $\pm$ 0.100,0.384 $\pm$ 0.043,0.644 $\pm$ 0.010,0.317 $\pm$ 0.005,0.604 $\pm$ 0.014
standarized_pca_95,0.508 $\pm$ 0.011,0.377 $\pm$ 0.015,0.686 $\pm$ 0.008,0.438 $\pm$ 0.039,0.404 $\pm$ 0.024,0.623 $\pm$ 0.015,0.314 $\pm$ 0.008,0.632 $\pm$ 0.012
